1 (0.13145347426148682, 'History')
1182 (0.00035307786664300447, 'South_Korea')
1183 (0.00035307786664300447, 'South_China_Sea')
1184 (0.00035307786664300447, 'Solomon_Islands')
1185 (0.00035307786664300447, 'Samoa')
1186 (0.00035307786664300447, 'Royal_Marines')
1187 (0.00035307786664300447, 'Rotterdam')
1188 (0.00035307786664300447, 'Rhine')
1189 (0.00035307786664300447, 'Pneumonia')
1190 (0.00035307786664300447, 'Philip_II_of_Spain')
1191 (0.00035307786664300447, 'Ottawa')
1192 (0.00035307786664300447, 'Netherlands_Antilles')
1193 (0.00035307786664300447, 'Nauru')
1194 (0.00035307786664300447, 'Luftwaffe')
1195 (0.00035307786664300447, 'Imperial_Japanese_Navy')
1196 (0.00035307786664300447, 'Hong_Kong')
1197 (0.00035307786664300447, 'Ho_Chi_Minh_City')
1198 (0.0003518806941208541, 'Wars_of_the_Roses')
1199 (0.0003518806941208541, 'Tunisia')
1200 (0.00034858846968494083, 'World_Wide_Web')
1201 (0.00034858846968494083, 'War_and_Peace')
1202 (0.00034858846968494083, 'Vitamin_C')
1203 (0.00034858846968494083, 'Turkish_literature')
1204 (0.00034858846968494083, 'Thomas_Samuel_Kuhn')
1205 (0.00034858846968494083, 'Thomas_Pynchon')
1206 (0.00034858846968494083, 'The_Mismeasure_of_Man')
1207 (0.00034858846968494083, 'The_Count_of_Monte_Cristo')
1208 (0.00034858846968494083, 'Symmetry')
1209 (0.00034858846968494083, 'Swastika')
1210 (0.00034858846968494083, 'Stephen_Jay_Gould')
1211 (0.00034858846968494083, 'Starship_Troopers')
1212 (0.00034858846968494083, 'Stargate_SG-1')
1213 (0.00034858846968494083, 'Sociology')
1214 (0.00034858846968494083, 'Sociocultural_evolution')
1215 (0.00034858846968494083, 'S%C3%B8ren_Kierkegaard')
1216 (0.00034858846968494083, 'Roman_Vishniac')
1217 (0.00034858846968494083, 'Revolution')
1218 (0.00034858846968494083, 'Punctuated_equilibrium')
1219 (0.00034858846968494083, 'Prehistoric_man')
1220 (0.00034858846968494083, 'Precambrian')
1221 (0.00034858846968494083, 'Planet')
1222 (0.00034858846968494083, 'Paul_Dirac')
1223 (0.00034858846968494083, 'Nikola_Tesla')
1224 (0.00034858846968494083, 'Nickel')
1225 (0.00034858846968494083, 'Muhammad_Iqbal')
1226 (0.00034858846968494083, 'Modernist_poetry_in_English')
1227 (0.00034858846968494083, 'Mind')
1228 (0.00034858846968494083, 'Milton_Keynes')
1229 (0.00034858846968494083, 'Military_history_of_France')
1230 (0.00034858846968494083, 'Military_history_of_Canada')
1231 (0.00034858846968494083, 'Microscope')
1232 (0.00034858846968494083, 'Maya_mythology')
1233 (0.00034858846968494083, 'Mausoleum_of_Maussollos')
1234 (0.00034858846968494083, 'Johann_Sebastian_Bach')
1235 (0.00034858846968494083, 'History_of_the_West_Indian_cricket_team')
1236 (0.00034858846968494083, 'History_of_the_Royal_Australian_Navy')
1237 (0.00034858846968494083, 'History_of_the_Panama_Canal')
1238 (0.00034858846968494083, 'History_of_the_Netherlands')
1239 (0.00034858846968494083, 'History_of_the_Grand_Canyon_area')
1240 (0.00034858846968494083, 'History_of_the_Australian_Capital_Territory')
1241 (0.00034858846968494083, 'History_of_saffron')
1242 (0.00034858846968494083, 'History_of_merit_badges_%28Boy_Scouts_of_America%29')
1243 (0.00034858846968494083, 'History_of_education')
1244 (0.00034858846968494083, 'History_of_Wikipedia')
1245 (0.00034858846968494083, 'History_of_Solidarity')
1246 (0.00034858846968494083, 'History_of_Singapore')
1247 (0.00034858846968494083, 'History_of_Portugal_%281777%E2%80%931834%29')
1248 (0.00034858846968494083, 'History_of_Poland_%281945%E2%80%931989%29')
1249 (0.00034858846968494083, 'History_of_Northwest_Territories_capital_cities')
1250 (0.00034858846968494083, 'History_of_Miami%2C_Florida')
1251 (0.00034858846968494083, 'History_of_Louisville%2C_Kentucky')
1252 (0.00034858846968494083, 'History_of_Limerick')
1253 (0.00034858846968494083, 'History_of_Burnside')
1254 (0.00034858846968494083, 'Halloween')
1255 (0.00034858846968494083, 'Geology')
1256 (0.00034858846968494083, 'Fossil_record')
1257 (0.00034858846968494083, 'Family')
1258 (0.00034858846968494083, 'Empires__Dawn_of_the_Modern_World')
1259 (0.00034858846968494083, 'Eliminative_materialism')
1260 (0.00034858846968494083, 'Effects_of_nuclear_explosions')
1261 (0.00034858846968494083, 'Du_Fu')
1262 (0.00034858846968494083, 'Diabetes_mellitus')
1263 (0.00034858846968494083, 'David_Helvarg')
1264 (0.00034858846968494083, 'Cultural_identity')
1265 (0.00034858846968494083, 'Celtic_F.C.')
1266 (0.00034858846968494083, 'Cambrian_explosion')
1267 (0.00034858846968494083, 'C._S._Lewis')
1268 (0.00034858846968494083, 'Biodiversity')
1269 (0.00034858846968494083, 'Asthma')
1270 (0.00034858846968494083, 'Asperger_syndrome')
1271 (0.00034858846968494083, 'Asp_%28reptile%29')
1272 (0.00034858846968494083, 'Archaeoastronomy')
1273 (0.00034858846968494083, 'Arcadia_%28play%29')
1274 (0.00034858846968494083, 'Anglo-Saxon_literature')
1275 (0.00034858846968494083, 'Andorra')
1276 (0.00034858846968494083, 'All_Blacks')
1277 (0.00034858846968494083, '2004_Indian_Ocean_earthquake')
1278 (0.00034858846968494083, '%E2%82%AC2_commemorative_coins')
